Laptop,Status,Brand,Model,RAM,Storage,Storage type,Screen,Touch,Final Price,CPU_Brand,GPU_Brand,CPU_Type,GPU_Type,GPU_Category
"MSI Summit E16 Flip A13VET-084XES Intel Core i7-1360P/32GB/1TB SSD/RTX 4050/16"" Táctil",0,14,93,32,1000,0,16.0,1,2099.0,2,6,12,26,0
"HP Notebook 14S-dq0009ns Intel Celeron N4020/4GB/64GB eMMC/14""",0,9,74,4,64,1,14.0,0,329.0,2,3,1,7,1
"Asus M515UA-EJ374 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",0,3,64,8,512,0,15.6,0,402.99,0,3,7,7,1
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/256 GB SSD/15.6""",0,13,108,8,256,0,15.6,0,461.32,2,3,11,7,1
"Lenovo ThinkPad T480 Intel Core i5-8350U/16GB/256GB SSD/14""",1,13,102,16,256,0,14.0,0,574.0,2,3,11,7,1
"ASUS ROG Strix Scar 16 2023 G634JZ-NM010W Intel Core i9-13980HX/32GB/2TB SSD/RTX 4080/16""",0,3,87,32,2000,0,16.0,0,3499.01,2,6,13,29,0
"Microsoft Surface Laptop 5 Alcántara Intel Evo Core i5-1235U/8GB/512GB SSD/13.5"" Táctil",0,16,95,8,512,0,13.5,1,1419.0,2,3,11,7,1
"Microsoft Surface Pro 9 Zafiro Intel Evo Core i5-1235U/8GB/256GB SSD/13"" Táctil",0,16,96,8,256,0,13.0,1,1299.0,2,3,11,7,1
"LG Gram 17ZD90R-G.AX75B Intel Evo Core i7-1360P/16GB/512GB SSD/17""",0,12,55,16,512,0,17.0,0,1699.0,2,3,12,7,1
"HP 470 G9 Intel Core i7-1255U/16GB/512GB SSD/MX550/17.3""",0,9,10,16,512,0,17.3,0,1300.0,2,4,12,11,2
"ASUS F1500EA-BQ3072 Intel Core i3-1115G4/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,372.0,2,3,10,7,1
"Razer Blade 16 Doble Resolución UHD+/FHD+ Intel Core i9-13950HX/32GB/2TB SSD/RTX 4090/16""",0,21,22,32,2000,0,16.0,0,4999.01,2,6,13,30,0
"Asus Rog Strix G15 G513QR-HF118 AMD Ryzen 7 5800H/32GB/1TB SSD/RTX3070/15.6""",0,3,87,32,1000,0,15.6,0,2079.01,0,6,8,24,0
"Dell Vostro 3520 Intel Core i7-1255U/16 GB/512GB SSD/15.6"" (PT)",0,5,115,16,512,0,15.6,0,997.79,2,3,12,7,1
"LG Gram 14ZB90Q Intel Core i5-1240P/16GB/512GB SSD/14""",0,12,55,16,512,0,14.0,0,1149.0,2,3,11,7,1
"Primux Ioxbook 15CA Intel Celeron N4000/8GB/256GB SSD/15.6""",0,19,57,8,256,0,15.6,0,229.0,2,3,1,7,1
"HP 15S-FQ2173NS Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,552.33,2,3,10,7,1
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/512GB SSD/16.2"" Gris Espacial",0,2,66,16,512,0,16.2,0,2729.01,1,3,2,7,1
"Microsoft Surface Pro 9 Grafito Intel Evo Core i5-1235U/8GB/256GB SSD/13"" Táctil",0,16,96,8,256,0,13.0,1,1299.0,2,3,11,7,1
"Alurin Go Intel Pentium N4200/8GB/256GB SSD/nOS/14.1""",0,1,54,8,256,0,14.1,0,329.91,2,3,5,7,1
"HP Spectre x360 14-ef0003ns Intel Evo Core i7-1255U/16GB/1TB SSD/13.5"" Táctil",0,9,91,16,1000,0,13.5,1,1699.01,2,3,12,7,1
"LG Gram 15Z90R-G.AD78B Intel Evo Core i7-1360P/32GB/1TB SSD/15""",0,12,55,32,1000,0,15.0,0,1929.01,2,3,12,7,1
"Samsung Galaxy Book3 Pro Intel Evo Core i7-1360P/16GB/512GB SSD/16""",0,23,53,16,512,0,16.0,0,1949.99,2,3,12,7,1
"Lenovo ThinkPad L15 Gen 3 Intel Core i5-1235U/8GB/256GB SSD/15.6""",0,13,102,8,256,0,15.6,0,1174.99,2,3,11,7,1
"Lenovo IdeaPad Gaming 3 15ACH6-302 AMD Ryzen 5 5600H/8GB/256 SSD/GTX1650/15.6"" (PT)",0,13,56,8,256,0,15.6,0,834.11,0,2,7,5,2
"Alurin Flex Intel Core i3-10110U/8GB/128GB SSD/nOS/14""",0,1,47,8,128,0,14.0,0,399.0,2,3,10,7,1
"Medion Akoya E15301 MD62123 AMD Ryzen 3 3200U/8GB/256 GB SSD/15.6""",0,15,15,8,256,0,15.6,0,529.0,0,3,6,7,1
"Microsoft Surface Laptop 4 Platino AMD Ryzen 7 4980U/8GB/256 GB SSD/15"" Táctil",0,16,95,8,256,0,15.0,1,1449.0,0,3,8,7,1
"Razer Blade 16 QHD+ Intel Core i9-13950HX/16GB/1TB SSD/RTX 4060/16""",0,21,22,16,1000,0,16.0,0,3099.0,2,6,13,27,0
"Razer Blade 16 QHD+ Intel Core i9-13950HX/16GB/1TB SSD/RTX 4070/16""",0,21,22,16,1000,0,16.0,0,3499.01,2,6,13,28,0
"Alurin AMD R5 5500U 15.6"" 8 256 con SO",0,1,17,8,256,0,15.6,0,499.0,0,3,3,7,1
"Alurin Flex Advance AMD Ryzen 5 5500U/8GB/500GB SSD/15.6"" + Windows 11 Home",0,1,48,8,500,0,15.6,0,559.0,0,3,7,7,1
"Razer Blade 16 Dual UHD+FHD+ Intel Core i9-13950HX/32GB/1TB SSD/RTX 4070/16""",0,21,22,32,1000,0,16.0,0,3799.99,2,6,13,28,0
"ASUS ZenBook 14 OLED UX3402VA-KM005W Intel Evo Core i7-1360P/16GB/512GB SSD/14""",0,3,120,16,512,0,14.0,0,1259.01,2,3,12,7,1
"Alurin Flex Advance Intel Core i5-1155G7/8GB/256GB SSD/15.6""",0,1,48,8,256,0,15.6,0,440.0,2,3,11,7,1
"Apple Macbook Air 2023 Apple M2/8GB/256GB SSD/GPU Deca Core/15.3"" Plata",0,2,65,8,256,0,15.3,0,1599.0,1,3,2,7,1
"HP 250 G9 Intel Core i3-1215U/8GB/512GB SSD/15.6""",0,9,7,8,512,0,15.6,0,398.1,2,3,10,7,1
"ASUS ROG Strix G17 G713PV-HX058 AMD Ryzen 9 7845HX/32GB/1TB SSD/RTX 4060/17.3""",1,3,87,32,1000,0,17.3,0,2099.0,0,6,9,27,0
"HP 15s-fq4106ns Intel Core i5-1155G7/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,454.33,2,3,11,7,1
"HP 15S-FQ4059NS Intel Core i5-1155G7/8GB/512GB SSD/15.6""",0,9,4,8,512,0,15.6,0,494.81,2,3,11,7,1
"Alurin Flex Advance AMD Ryzen 5 5500U/8GB/256GB SSD/15.6""",0,1,48,8,256,0,15.6,0,399.0,0,3,7,7,1
"ASUS TUF Gaming F15 Fx506lhb-hn359 Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6""",0,3,98,16,512,0,15.6,0,719.01,2,2,11,5,2
"Alurin Intel Core I7 12th 15.6"" 16 500 con SO",0,1,17,8,500,0,15.6,0,869.0,2,3,12,7,1
"HP 250 G9 Intel Core i7-1255U/16 GB/512GB SSD/15.6"" Plata",0,9,7,16,512,0,15.6,0,824.0,2,3,12,7,1
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/32GB/1TB SSD/16.2"" Gris Espacial",0,2,66,32,1000,0,16.2,0,3499.01,1,3,2,7,1
"Lenovo V15 G2 Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Negro",0,13,108,8,256,0,15.6,0,495.99,2,3,10,7,1
"MSI Raider GE78HX 13VG-040ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/17""",0,14,88,32,1000,0,17.0,0,2999.0,2,6,12,28,0
"Lenovo ThinkBook 15p Intel Core i7-10750H/16GB/1TB SSD/GTX 1650Ti/15.6""",0,13,101,16,1000,0,15.6,0,1219.0,2,2,12,5,2
"Lenovo ThinkPad E15 Gen 4 Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,13,102,16,512,0,15.6,0,1395.0,2,3,12,7,1
"ASUS ExpertBook B1 B1502CBA-EJ0425 Intel Core i5-1235U/16GB/512GB SSD/15.6""",0,3,42,16,512,0,15.6,0,695.0,2,3,11,7,1
"MSI Creator Z16 HX Studio B13VFTO-027ES Intel Core i9-13950HX/64GB/2TB SSD/RTX 4060/16"" Táctil",0,14,29,64,2000,0,16.0,1,3061.31,2,6,13,27,0
"HP 250 G9 Intel Core i3-1215U/8 GB/512GB SSD/15.6""",0,9,7,8,512,0,15.6,0,453.0,2,3,10,7,1
"Acer Chromebook 317 Intel Celeron N4500/8GB/128GB eMMC/17.3""",0,0,26,8,128,1,17.3,0,499.0,2,3,1,7,1
"Dynabook Toshiba Satellite Pro C50-G-10F Intel Core i7-10510U/8 GB/256GB SSD/15.6""",0,7,90,8,256,0,15.6,0,699.0,2,3,12,7,1
"HP 15S-FQ2160NS Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,393.59,2,3,10,7,1
Dell XPS 13 9315 Intel Core i5-1230U/16GB/512GB SSD/13.4'' (PT),0,5,117,16,512,0,13.4,0,2063.26,2,3,11,7,1
"HP OMEN 17-ck2001ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4080/17.3""",0,9,76,32,1000,0,17.3,0,2999.01,2,6,12,29,0
"Lenovo Legion Pro 7 16IRX8 Intel Core i9-13900HX/32GB/1TB SSD/RTX 4070/16""",0,13,61,32,1000,0,16.0,0,2689.01,2,6,13,28,0
"Acer ConceptD 3 CN316-73G-74FZ Intel Core i7-11800H/16GB/512GB SSD/GTX 1650/16""",0,0,28,16,512,0,16.0,0,1799.0,2,2,12,5,2
"Lenovo V15 G3 IAP Intel Core i5-1235U/8GB/512GB SSD/15.6""",0,13,108,8,512,0,15.6,0,579.9,2,3,11,7,1
"Acer Predator Helios 300 PH317-55 Intel Core i7-11800H/16GB/1TB SSD/RTX3060/17.3""",0,0,82,16,1000,0,17.3,0,1799.0,2,6,12,23,0
"ASUS F515EA-BQ1625W Intel Core i3-1115G4/8GB/256GB/15.6""",0,3,46,8,256,0,15.6,0,408.0,2,3,10,7,1
"Acer Chromebook 516 GE CBG516-1H-72EW Intel Core i7-1260P/16GB/256GB SSD/16""",0,0,26,16,256,0,16.0,0,1139.01,2,3,12,7,1
"Acer Nitro 5 AN515-45-R5ZJ AMD Ryzen 9 5900HX/16GB/1TB SSD/RTX 3080/15.6""",0,0,73,16,1000,0,15.6,0,2399.01,0,6,9,25,0
"Dell Latitude 9510 Intel Core i5-10210U/8GB/256GB SSD/15""",0,5,60,8,256,0,15.0,0,1599.0,2,3,11,7,1
Lenovo IdeaPad IP 5 Chrome 16IAU7 Intel Core i5-1235U/8GB/512GB SSD/16'' (PT),0,13,56,8,512,0,16.0,0,1274.37,2,3,11,7,1
"Lenovo Legion 5 15ACH6-276 Ryzen 7 5800H/16GB/1TB SSD/RTX3060/15.6"" (PT)",0,13,61,16,1000,0,15.6,0,1553.68,0,6,8,23,0
"MSI Creator Pro M16 B13VI-1023ES Intel Core i7-13700H/16GB/1TB SSD/RTX A1000/16""",0,14,29,16,1000,0,16.0,0,1980.2,2,6,12,13,0
"MSI Creator Pro M16 B13VI-1024XES Intel Core i7-13700H/16GB/1TB SSD/RTX A1000/16""",0,14,29,16,1000,0,16.0,0,1772.43,2,6,12,13,0
"MSI Creator Pro M16 B13VK-1021ES Intel Core i7-13700H/32GB/1TB SSD/RTX 3000/16""",0,14,29,32,1000,0,16.0,0,2707.44,2,6,12,21,0
"MSI Katana 17 B13VFK-087ES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/17.3""",0,14,58,16,1000,0,17.3,0,1999.0,2,6,12,27,0
"ASUS ExpertBook B3 Flip B3402FEA-EC0765X Intel Core i5-1135G7/8GB/256GB SSD/14"" Táctil",0,3,42,8,256,0,14.0,1,839.0,2,3,11,7,1
"ASUS P1412CEA-EK1154X Intel Core i5-1135G7/16GB/512GB SSD/14""",0,3,42,16,512,0,14.0,0,650.13,2,3,11,7,1
"Microsoft Surface Pro 9 Grafito Intel Evo Core i7-1255U/16GB/512GB SSD/13"" Táctil",0,16,96,16,512,0,13.0,1,2189.0,2,3,12,7,1
"Microsoft Surface Laptop Studio Intel Core i5-11300H/16GB/256GB SSD/14.4"" Táctil Platino",0,16,95,16,256,0,14.4,1,1699.01,2,3,11,7,1
"ASUS ExpertBook B1 B1502CBA-EJ0439 Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,3,42,16,512,0,15.6,0,800.0,2,3,12,7,1
"HP EliteBook 850 G4 i5-7300U/8GB/256GB SSD/15.6""",1,9,38,8,256,0,15.6,0,675.0,2,3,11,7,1
"MSI Creator M16 A12UC-090XES Intel Core i7-12700H/16GB/1TB SSD/RTX 3050/16""",0,14,29,16,1000,0,16.0,0,1499.0,2,6,12,22,0
"HP 15S-EQ2051NS AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,431.99,0,3,6,7,1
"HP ProBook 455 G10 AMD Ryzen 7 7730U/16GB/512GB SSD/15.6""",0,9,85,16,512,0,15.6,0,899.99,0,3,8,7,1
"ASUS E510MA-EJ1188W Intel Celeron N4020/8GB/256GB SSD/15.6""",0,3,35,8,256,0,15.6,0,329.99,2,3,1,7,1
"Alurin Go Intel Pentium N4200/8GB/256GB SSD/14.1""",0,1,54,8,256,0,14.1,0,399.0,2,3,5,7,1
"HP ProBook 450 G9 Intel Core i7-1255U/16GB/1TB SSD/15.6""",0,9,85,16,1000,0,15.6,0,1312.0,2,3,12,7,1
HP Victus 16-d1012np Intel Core i7-12700H/8GB/512GB SSD/RTX 3050Ti/16.1'' (PT),0,9,112,8,512,0,16.1,0,1329.51,2,6,12,22,0
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8 GB/512GBSSD/15.6""",0,13,56,8,512,0,15.6,0,599.0,2,3,11,7,1
Acer Extensa 15 EX215-54 Intel Core i5-1135G7/8GB/256GB SSD,0,0,43,8,256,0,15.6,0,524.99,2,3,11,7,1
"MSI Modern 14 C12M-052ES Intel Core i7-1255U/16GB/1TB SSD/14""",0,14,68,16,1000,0,14.0,0,1149.0,2,3,12,7,1
"Microsoft Surface Pro 6 Intel Core i5-8250U/8GB/256GB SSD/12.3"" Táctil",1,16,96,8,256,0,12.3,1,1349.0,2,3,11,7,1
"MSI Creator Z16 HX Studio B13VGTO-032ES Intel Core i9-13950HX/64GB/1TB SSD/RTX 4070/16"" Táctil",0,14,29,64,1000,0,16.0,1,3289.01,2,6,13,28,0
"MSI Creator Z17 HX Studio A13VGT-041ES Intel Core i9-13950HX/64GB/2TB SSD/RTX 4070/17"" Táctil",1,14,29,64,2000,0,17.0,1,3394.99,2,6,13,28,0
"HP 250 G9 Intel Core i7-1255U/16GB/512GB SSD/15.6"" Gris",0,9,7,16,512,0,15.6,0,786.14,2,3,12,7,1
ASUS Vivobook Pro 15 M6500QE AMD Ryzen 7-5800H/16GB/1TB SSD/RTX 3050Ti/15.6'' (PT),0,3,113,16,1000,0,15.6,0,1501.55,0,6,8,22,0
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/1TB SSD/16.2"" Gris Espacial",0,2,66,16,1000,0,16.2,0,2999.01,1,3,2,7,1
"ASUS TUF GAMING A15 FA507NU-R77B46CS1 AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX4060/15.6"" (PT)",0,3,98,16,512,0,15.6,0,1499.96,0,6,8,27,0
"Dell Latitude E5440 Intel Core i5-4310U/8GB/128GB SSD/14""",1,5,60,8,128,0,14.0,0,379.0,2,3,11,7,1
"Lenovo ThinkPad T470 Intel Core i5-7300U/16GB/256GB SSD/14""",1,13,102,16,256,0,14.0,0,575.0,2,3,11,7,1
"Samsung Galaxy Book3 Pro Intel Evo Core i7-1360P/16GB/512GB SSD/14""",0,23,53,16,512,0,14.0,0,1889.0,2,3,12,7,1
"Lenovo Yoga Slim 7 Pro 14ARH7 AMD Ryzen 5 6600HS/8GB/512GB SSD/14""",0,13,118,8,512,0,14.0,0,979.0,0,3,7,7,1
"LG Gram 17Z90R-E.AD75B Intel Evo Core i7-1360P/32GB/512GB SSD/RTX 3050/17""",0,12,55,32,512,0,17.0,0,2399.0,2,6,12,22,0
"HP EliteBook 840 G3 Intel Core i5-6200U/8GB/256GB SSD/14""",1,9,38,8,256,0,14.0,0,210.14,2,3,11,7,1
"ASUS ROG Strix G16 G614JI-N4007 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4070/16""",0,3,87,32,1000,0,16.0,0,2459.01,2,6,13,28,0
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Negro",0,13,108,8,512,0,15.6,0,509.0,2,3,11,7,1
"Dynabook Toshiba Satellite Pro C50-J-12X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,7,90,8,256,0,15.6,0,679.0,2,3,10,7,1
"ASUS ROG Strix G17 G713PI-HX004 AMD Ryzen 9 7945HX/32GB/1TB SSD/RTX 4070/17.3""",1,3,87,32,1000,0,17.3,0,2499.0,0,6,9,28,0
"Gigabyte AORUS 15 9KF-E3ES383SD Intel Core i5-12500H/8GB/512GB SSD/RTX 4060/15.6""",0,8,18,8,512,0,15.6,0,1086.85,2,6,11,27,0
"Medion Erazer Beast X40 Intel Core i9-13900HX/32GB/2TB SSD/RTX 4090/17""",0,15,21,32,2000,0,17.0,0,3799.0,2,6,13,30,0
"MSI Prestige 16 A12UD-218ES Intel Core i7-1280P/32GB/1TB SSD/RTX 3050Ti/16""",0,14,83,32,1000,0,16.0,0,1929.01,2,6,12,22,0
Lenovo Legion 5 15ACH6-990 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3070/15.6'' (PT),1,13,61,16,512,0,15.6,0,1180.29,0,6,8,24,0
"Alurin Flex Advance Intel Core i5-1155G7/8GB/256GB SSD/14"" + Windows 11 Home",0,1,48,8,256,0,14.0,0,540.0,2,3,11,7,1
"HP OMEN 17-ck0013ns Intel Core i7-11800H/32GB/1TB SSD/RTX 3060/17.3""",0,9,76,32,1000,0,17.3,0,1699.01,2,6,12,23,0
"Alurin Flex Intel Core i3-10110U/8GB/256GB SSD/nOS/14""",0,1,47,8,256,0,14.0,0,429.9,2,3,10,7,1
"Acer Aspire 3 A315-56-35X1 Intel Core i3-1005G1/8GB/256GB SSD/15.6""",0,0,19,8,256,0,15.6,0,385.2,2,3,10,7,1
"Acer TravelMate P2 TMP215-53-58LP Intel Core i5-1135G7/8GB/256GB SSD/15.6""",0,0,104,8,256,0,15.6,0,725.0,2,3,11,7,1
"Acer Extensa 15 EX215-54-50GK Intel Core i5-1135G7/8GB/512GB SSD/15.6""",0,0,43,8,512,0,15.6,0,589.0,2,3,11,7,1
"ASUS ExpertBook B1 B1502CBA-EJ0439W Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,3,42,16,512,0,15.6,0,884.99,2,3,12,7,1
"HP Chromebook x360 11 G3 Education Edition Intel Celeron N4020/4GB/32GB/11.6"" Táctil",0,9,26,4,32,0,11.6,1,282.57,2,3,1,7,1
"LG Gram 14Z90R-G.AD78B Intel Evo Core i7-1360P/32GB/1TB SSD/14""",0,12,55,32,1000,0,14.0,0,1999.0,2,3,12,7,1
"Acer Extensa 15 EX215-54-323B Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,0,43,8,256,0,15.6,0,430.99,2,3,10,7,1
"LG Gram 16Z90R-E.AD75B Intel Evo Core i7-1360P/32GB/512GB SSD/RTX 3050/16""",0,12,55,32,512,0,16.0,0,2349.0,2,6,12,22,0
"Microsoft Surface Laptop 5 Platino Intel Evo Core i7-1255U/8GB/256GB SSD/15"" Táctil",0,16,95,8,256,0,15.0,1,1529.0,2,3,12,7,1
"HP EliteBook 840 G5 Intel Core i7-8550U/16GB/512GB SSD/14""",1,9,38,16,512,0,14.0,0,588.0,2,3,12,7,1
"Dynabook Toshiba Portégé X30L-K-108 Intel Core i7-1260P/16GB/512GB SSD/13.3""",0,7,80,16,512,0,13.3,0,1805.01,2,3,12,7,1
"Lenovo ThinkPad T440 Intel Core i5-4300U/8GB/256GB SSD/14""",1,13,102,8,256,0,14.0,0,399.0,2,3,11,7,1
"Dynabook Toshiba Tecra A50-J-1F8 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",0,7,99,8,256,0,15.6,0,899.01,2,3,11,7,1
"ASUS Zenbook 14 OLED UM3402YA-KM063W AMD Ryzen 5 5625U/16GB/512GB SSD/14""",0,3,120,16,512,0,14.0,0,856.0,0,3,7,7,1
"Alurin Flex Intel Core i3-10110U/8GB/512GB SSD/14""",0,1,47,8,512,0,14.0,0,529.0,2,3,10,7,1
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/1TB SSD/14.2"" Plata",0,2,66,16,1000,0,14.2,0,2749.0,1,3,2,7,1
"HP EliteBook 850 G5 i5-8250U/8GB/256GB SSD/15.6""",1,9,38,8,256,0,15.6,0,899.01,2,3,11,7,1
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/512GB SSD/16.2"" Plata",0,2,66,16,512,0,16.2,0,2789.0,1,3,2,7,1
"Thomson Neo White Intel Celeron N4020/4GB/64GB eMMC/14.1""",0,24,71,4,64,1,14.1,0,201.05,2,3,1,7,1
"ASUS VivoBook F515EA-BQ3063 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,505.01,2,3,11,7,1
"Alurin Flex Advance AMD Ryzen 5 5500U/16GB/500GB SSD/15.6""",0,1,48,16,500,0,15.6,0,499.0,0,3,7,7,1
"ASUS VivoBook 15 F1500EA-EJ3100 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,3,113,8,256,0,15.6,0,355.0,2,3,10,7,1
"ASUS Zenbook 14 OLED UM3402YA-KM094W AMD Ryzen 7 5825U/16GB/512GB SSD/14""",0,3,120,16,512,0,14.0,0,1199.0,0,3,8,7,1
"Acer ConceptD 3 Pro CN316-73P-79PD Intel Core i7-11800H/16GB/1TB SSD/T1200/16""",0,0,28,16,1000,0,16.0,0,1899.0,2,9,12,40,3
"Lenovo V15 G2 ITL Intel Core i7-1165G7/16GB/512GB SSD/15.6""",0,13,108,16,512,0,15.6,0,969.0,2,3,12,7,1
"Lenovo ThinkPad T15p Gen 2 Intel Core i7-11800H/16GB/512GB SSD/GTX 1650/15.6""",0,13,102,16,512,0,15.6,0,2039.0,2,2,12,5,2
"ASUS ExpertBook P1512CEA-EJ0084X Intel Core i7-1165G7/16GB/512GB SSD/15.6""",0,3,42,16,512,0,15.6,0,860.0,2,3,12,7,1
"Lenovo ThinkPad L14 Gen 2 Intel Core i5-1145G7/16 GB/256GB SSD/14""",0,13,102,16,256,0,14.0,0,869.0,2,3,11,7,1
"Acer Predator Helios 300 PH317-55-77GT Intel Core i7-11800H/32GB/1TB SSD/RTX3070/17.3""",1,0,82,32,1000,0,17.3,0,1417.19,2,6,12,24,0
"MSI Modern 14 C5M-023XES AMD Ryzen 5 5625U/8GB/512GB SSD/14""",1,14,68,8,512,0,14.0,0,659.44,0,3,7,7,1
"HP 15S-EQ1134NS AMD 3020e/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,301.01,0,3,3,7,1
"HP Pavilion Aero 13-be1006ns AMD Ryzen 7 5825U/16GB/512GB SSD/13.3""",1,9,79,16,512,0,13.3,0,663.69,0,3,8,7,1
"Dynabook Toshiba Tecra A50-K-14S Intel Core i7-1260P/16GB/512GB SSD/15.6""",0,7,99,16,512,0,15.6,0,1637.0,2,3,12,7,1
"Apple MacBook Pro Apple M2 Max/32GB/1TB SSD/14.2"" Plata",0,2,66,32,1000,0,14.2,0,3399.0,1,3,2,7,1
"ASUS ExpertBook B1 B1402CBA-EB0862 Intel Core i7-1255U/16GB/512GB SSD/14""",0,3,42,16,512,0,14.0,0,800.0,2,3,12,7,1
"Apple Macbook Pro Intel Core i7/16GB/512GB SSD/Radeon Pro 5300M/16"" Gris Espacial",1,2,66,16,512,0,16.0,0,1093.69,2,8,12,37,3
"Lenovo V15 IGL Intel Celeron N4020/4GB/128GB SSD/15.6""",0,13,108,4,128,0,15.6,0,279.0,2,3,1,7,1
ASUS TUF Dash F15 FX517ZE Intel Core i7-12650H/16GB/512GB SSD/RTX 3050Ti/15.6'' (PT),0,3,98,16,512,0,15.6,0,1481.63,2,6,12,22,0
"Dell Latitude 3520 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",0,5,60,8,256,0,15.6,0,879.0,2,3,11,7,1
"LG Ultra 16U70Q AMD Ryzen 5 5625U/8GB/512GB SSD/16""",0,12,106,8,512,0,16.0,0,969.0,0,3,7,7,1
"Lenovo Yoga Slim 7 Pro 14IAP7 Intel Evo Core i5-1240P/8GB/512GB SSD/14""",0,13,118,8,512,0,14.0,0,979.0,2,3,11,7,1
"MSI Katana GF66 11UC-045XES Intel Core i7-11800H/16 GB/1TB SSD/RTX3050/15.6""",0,14,58,16,1000,0,15.6,0,1199.0,2,6,12,22,0
"Medion Erazer Beast X40 Intel Core i9-13900HX/32GB/1TB SSD/RTX 4080/17""",0,15,21,32,1000,0,17.0,0,3199.01,2,6,13,29,0
"Medion Erazer Major X10 Intel Core i7-12700H/16GB/1TB SSD/Intel Arc A730M/16""",0,15,41,16,1000,0,16.0,0,1699.0,2,1,12,2,3
"Razer Blade 17 FullHD 360Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/17.3""",0,21,22,16,1000,0,17.3,0,3500.0,2,6,12,24,0
"ASUS ROG Zephyrus G14 2023 GA402XY-NC019W AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4090/14""",0,3,87,32,1000,0,14.0,0,4599.0,0,6,9,30,0
"Apple Macbook Air 2023 Apple M2/8GB/512GB SSD/GPU Deca Core/15.3"" Blanco Estrella",0,2,65,8,512,0,15.3,0,1829.0,1,3,2,7,1
"Apple Macbook Air 2023 Apple M2/8GB/512GB SSD/GPU Deca Core/15.3"" Plata",0,2,65,8,512,0,15.3,0,1829.0,1,3,2,7,1
"Microsoft Surface Laptop Studio Intel Core i5-11300H/16GB/512GB SSD/14.4"" Táctil Platino",0,16,95,16,512,0,14.4,1,1899.0,2,3,11,7,1
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/32 GB/1TB SSD/RTX 3080Ti/15.6""",0,21,22,32,1000,0,15.6,0,4099.0,2,6,12,25,0
"Razer Blade 17 4K 144Hz Intel Core i9-12900H/32GB/1TB SSD/RTX 3070Ti/17.3""",0,21,22,32,1000,0,17.3,0,4499.99,2,6,13,24,0
"Razer Blade 17 QHD 240Hz Intel Core i9-12900H/16GB/1TB SSD/RTX 3070Ti/17.3""",0,21,22,16,1000,0,17.3,0,3899.99,2,6,13,24,0
"Samsung Galaxy Book3 Ultra Intel Evo Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",0,23,53,16,1000,0,16.0,0,2999.01,2,6,12,26,0
"Dell Latitude E7470  Intel Core i5-6200U/16GB/256GB SSD/14""",1,5,60,16,256,0,14.0,0,499.0,2,3,11,7,1
"Razer Blade 14 165Hz AMD Ryzen 9 6900HX/16GB/1TB SSD/RTX 3070Ti/14""",1,21,22,16,1000,0,14.0,0,2899.99,0,6,9,24,0
"Lenovo IdeaPad Flex 5 13ITL6 Chromebook 13ITL6 Intel Core i3-1115G4/8GB/256GB SSD/13.3"" Táctil",0,13,56,8,256,0,13.3,1,699.0,2,3,10,7,1
"ASUS VivoBook 15 F1502ZA-EJ1112W Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,3,113,16,512,0,15.6,0,755.0,2,3,12,7,1
